run_id,timestamp,learning_rate,gamma,buffer_size,exploration_fraction,mean_reward,std_reward,mean_episode_length,mean_final_fund,success_rate
1,2026-07-22T12:10:30,0.001,0.99,10000,0.1,-72.38866906793974,39.060092233282425,104.3,20559.11279911854,0.0
2,2026-07-22T12:11:02,0.0001,0.99,10000,0.1,-80.71316347604767,21.07454197010654,78.65,19399.021725077684,0.0
3,2026-07-22T12:11:31,0.0005,0.95,10000,0.1,-82.77281355050818,12.491087420259694,82.95,16935.067674517206,0.0
4,2026-07-22T12:12:02,0.0005,0.99,50000,0.1,-81.0264998680199,11.576408513718546,73.75,18100.877808603054,0.0
5,2026-07-22T12:12:30,0.0005,0.99,10000,0.3,-56.72290638650435,59.155128169697036,110.65,22019.672147019457,0.0
6,2026-07-22T12:12:59,0.001,0.9,10000,0.1,-71.20342659877463,34.56095602963651,92.4,16888.586224185463,0.0
7,2026-07-22T12:13:27,0.00025,0.99,100000,0.2,-71.41539429252957,36.33917808130337,99.25,21420.783448243215,0.0
8,2026-07-22T12:13:54,0.001,0.99,10000,0.5,-66.82681739368817,47.127780796904105,98.0,21037.33185306965,0.0
9,2026-07-22T12:14:22,0.0001,0.995,50000,0.2,-65.40369524764155,49.52735720090174,99.55,20349.29115416599,0.0
10,2026-07-22T12:14:51,0.0007,0.97,25000,0.15,-67.82943272725508,47.6363708917581,95.95,20478.73322407533,0.0
